Experiment: Apr29_NP_tst_expt vial 9, Fri Apr 29 15:50:36 2022
0.0017,163
0.0067,167
0.0124,168
0.018,168
0.0233,166
0.0289,167
0.0346,169
0.0402,167
0.0456,164
2.857,162
2.8626,163
2.8679,164
2.8737,163
2.879,164
2.8847,163
2.8903,164
2.8957,163
2.9013,162
2.9069,160
2.9126,164
2.9179,164
2.9236,163
2.9293,162
2.9346,164
2.9403,164
2.9459,165
2.9513,162
2.9569,164
2.9625,162
2.9679,161
2.9735,161
2.9792,160
2.9848,161
2.9901,164
2.9958,166
3.0014,168
3.0068,165
3.0125,162
3.0182,163
3.0235,164
3.0292,165
3.0348,164
3.0402,164
3.0458,162
3.0513,164
3.057,162
3.0626,163
3.0679,163
3.0736,164
3.0791,161
3.0847,161
3.0904,164
3.0957,161
3.1013,164
3.1069,163
3.1126,163
3.1179,164
3.1235,163
3.1291,165
3.1348,164
3.1404,164
3.1457,162
3.1514,162
3.157,162
3.1626,162
3.1679,162
3.1735,164
3.1792,163
3.1848,162
3.1902,163
3.1958,164
3.2014,162
3.2068,162
3.2124,165
3.218,164
3.2237,162
3.229,163
3.2346,164
3.2403,163
3.246,163
3.2513,160
3.2569,163
3.2626,162
3.2679,162
3.2735,163
3.2792,162
3.2848,160
3.2901,163
3.2958,165
3.3014,163
3.307,164
3.3124,162
3.318,161
3.3236,163
3.3292,164
3.3349,163
3.3402,163
3.3458,162
3.3515,164
3.3571,162
3.3624,161
3.3681,161
3.3737,162
3.3793,162
3.3846,162
3.3903,164
3.3959,164
3.4013,165
3.4069,165
3.4125,165
3.4182,164
3.4235,158
3.4291,162
3.4348,162
3.4404,164
3.4458,163
3.4514,165
3.457,162
3.4624,164
3.468,161
3.4736,160
3.4792,165
3.4846,162
3.4902,164
3.4958,163
3.5014,163
3.5068,162
3.5124,165
3.518,164
3.5237,164
3.529,164
3.5346,163
3.5402,162
3.5459,164
3.5515,164
3.5568,164
3.5624,162
3.5681,163
3.5737,164
3.579,165
3.5846,163
3.5902,163
3.5959,162
3.6015,161
3.6068,164
3.6125,163
3.618,164
3.6237,163
3.6293,162
3.6346,163
3.6403,164
3.6458,162
3.6515,162
3.6571,164
3.6624,161
3.668,164
3.6736,160
3.6793,161
3.6846,164
3.6903,164
3.6959,165
3.7012,167
3.7069,161
3.7125,160
3.7181,160
3.7234,162
3.7291,160
3.7347,162
3.7403,161
3.746,164
3.7513,162
3.7569,163
3.7625,160
3.7682,160
3.7735,161
3.7791,163
3.7848,163
3.7904,163
3.7957,163
3.8013,161
3.807,164
3.8126,165
3.8182,163
3.8235,162
