Experiment: Mar_9_turb2_expt vial 8, Tue Mar  9 17:40:35 2021
0.0017,1638
0.0069,1634
0.0125,1627
0.0179,1626
0.0236,1632
0.029,1637
0.0347,1628
0.0401,1627
0.0458,1631
0.0515,1638
0.0569,1635
0.0625,1628
0.0679,1627
0.0736,1633
0.079,1638
0.0847,1631
0.0901,1627
0.0958,1632
0.1012,1636
0.1069,1634
0.1125,1628
0.1179,1629
0.1236,1637
0.129,1637
0.1347,1629
0.1401,1629
0.1458,1633
0.1512,1637
0.1569,1628
0.1623,1628
0.1679,1633
0.1736,1637
0.179,1634
0.1847,1628
0.1901,1629
0.1958,1637
0.2012,1636
0.2069,1630
0.2123,1628
0.218,1631
