Experiment: T3_Aug_19_pumped_od_cal_expt vial 7, Thu Aug 19 18:27:13 2021
0.0032,1631
0.0086,1633
0.0143,1629
0.0197,1632
0.0254,1630
0.0308,1629
0.0365,1632
0.0419,1627
0.0476,1630
0.053,1632
0.0585,1631
0.0642,1626
0.0696,1629
0.0753,1629
0.081,1629
0.0864,1630
0.0921,1630
0.0974,1626
0.1031,1630
0.1085,1634
0.1142,1628
0.1196,1628
0.1252,1634
0.1309,1629
0.1363,1629
0.142,1630
0.1474,1628
0.153,1627
0.1587,1632
0.1642,1633
0.1699,1629
0.1753,1628
0.1808,1634
0.1865,1628
0.1919,1627
0.1976,1632
0.203,1629
0.2086,1627
0.2141,1629
0.2198,1634
0.2252,1628
0.2309,1629
0.2363,1632
0.242,1625
0.2474,1627
0.2531,1632
0.2588,1629
0.2642,1628
0.2697,1634
0.2754,1633
0.2808,1626
0.2865,1628
0.2919,1631
0.2976,1629
0.303,1628
0.3087,1632
0.3141,1630
0.3198,1623
0.3253,1635
0.3307,1636
0.3364,1631
0.3421,1627
0.3474,1629
0.3531,1630
0.3586,1626
0.3643,1632
0.3697,1628
0.3754,1630
0.3808,1634
0.3865,1635
0.3919,1631
0.3976,1628
0.403,1631
0.4087,1630
0.4141,1627
0.4198,1634
0.4252,1629
0.4309,1626
0.4363,1633
0.4421,1634
0.4475,1632
0.4532,1628
0.4586,1630
0.4643,1633
0.4697,1627
0.4753,1631
0.4807,1630
0.4864,1627
0.4919,1635
0.4976,1635
0.503,1631
0.5087,1626
0.5141,1632
0.5198,1634
0.5252,1627
0.5309,1626
0.5363,1632
0.542,1629
0.5474,1628
0.5532,1634
0.5586,1630
0.5643,1627
0.5697,1630
0.5754,1629
0.5808,1629
0.5865,1632
0.5919,1627
0.5976,1627
0.603,1636
0.6087,1638
0.6141,1634
0.6198,1627
0.6252,1629
0.6309,1633
0.6365,1628
0.6419,1629
0.6476,1634
0.653,1628
0.6587,1634
0.6641,1635
0.6698,1631
0.6752,1626
0.6809,1632
0.6863,1631
0.692,1627
0.6974,1629
0.7031,1631
0.7086,1633
0.7142,1631
0.7197,1629
0.7253,1630
0.7307,1631
0.7364,1625
0.7419,1630
0.7475,1631
0.753,1628
0.7586,1631
0.7641,1636
0.7698,1638
0.7752,1633
0.7809,1627
0.7863,1630
0.792,1631
0.7974,1629
0.803,1627
0.8087,1633
0.8142,1632
0.8199,1631
0.8253,1628
0.831,1632
0.8364,1631
0.8421,1628
0.8475,1630
0.8532,1631
0.8586,1628
0.8643,1631
0.8698,1637
0.8754,1640
0.8808,1639
0.8865,1633
0.8919,1627
0.8976,1628
0.903,1631
0.9087,1629
0.9141,1628
0.9198,1631
0.9253,1635
0.931,1638
0.9364,1632
0.942,1630
0.9474,1628
0.9531,1633
0.9585,1628
0.9642,1628
0.9697,1632
0.9753,1631
0.9808,1634
0.9865,1639
0.9919,1640
0.9976,1635
1.003,1630
1.0087,1627
1.0142,1633
1.0199,1631
1.0253,1626
1.0308,1637
1.0365,1650
1.0419,1652
1.0476,1649
1.053,1650
1.0587,1643
1.0641,1639
1.0698,1633
