Experiment: Feb_19_real_eric2_expt vial 13, Fri Feb 19 13:52:12 2021
0,0
2.0132,0.64
2.0909,0.64
2.1686,0.64
2.2465,0.64
2.3242,0.64
2.4022,0.64
2.4798,0.64
2.5576,0.64
2.6353,0.64
2.7132,0.64
2.7909,0.64
2.8689,0.64
2.9466,0.64
3.0243,0.64
3.102,0.64
3.1799,0.64
3.2576,0.64
3.3354,0.64
3.4132,0.64
3.4911,0.64
3.5687,0.64
3.6467,0.64
3.7244,0.64
3.8021,0.64
3.8799,0.64
3.9578,0.64
4.0355,0.64
4.1131,0.64
4.1911,0.64
4.2687,0.64
4.3467,0.64
4.4244,0.64
4.502,0.64
4.58,0.64
4.6577,0.64
4.7354,0.64
4.8134,0.64
4.891,0.64
4.9687,0.64
5.0467,0.64
5.1244,0.64
5.2023,0.64
5.28,0.64
5.3577,0.64
5.4356,0.64
5.5134,0.64
5.5911,0.64
5.6688,0.64
5.7467,0.64
5.8244,0.64
5.9022,0.64
5.9799,0.64
6.0577,0.64
6.1357,0.64
6.2133,0.64
6.291,0.64
6.369,0.64
6.4468,0.64
6.5244,0.64
6.6023,0.64
6.6799,0.64
6.7579,0.64
6.8355,0.64
6.9134,0.64
6.991,0.64
7.0689,0.64
7.1466,0.64
7.2245,0.64
7.302,0.64
7.3801,0.64
7.4579,0.64
7.5355,0.64
7.6134,0.64
7.691,0.64
7.7689,0.64
7.8468,0.64
7.9245,0.64
8.0078,0.64
8.0855,0.64
8.1634,0.64
8.241,0.64
8.3189,0.64
8.3968,0.64
8.4745,0.64
8.5523,0.64
8.6302,0.64
8.7078,0.64
8.7856,0.64
8.8635,0.64
8.9413,0.64
9.019,0.64
9.0966,0.64
9.1746,0.64
9.2522,0.64
9.3301,0.64
9.4077,0.64
9.4856,0.64
9.5635,0.64
9.6412,0.64
9.7191,0.64
9.7967,0.64
9.8746,0.64
9.9523,0.64
10.0302,0.64
10.1078,0.64
10.1857,0.64
10.2633,0.64
10.3412,0.64
10.419,0.64
10.4968,0.64
10.5744,0.64
10.6524,0.64
10.73,0.64
10.8079,0.64
10.8858,0.64
10.9634,0.64
11.0413,0.64
11.1189,0.64
11.1969,0.64
11.2747,0.64
11.3523,0.64
11.4302,0.64
11.5079,0.64
11.5858,0.64
11.6634,0.64
11.7413,0.64
11.819,0.64
11.8967,0.64
11.9745,0.64
12.0525,0.64
12.1301,0.64
12.208,0.64
12.2857,0.64
12.3636,0.64
12.4412,0.64
12.5191,0.64
12.5967,0.64
12.6747,0.64
12.7524,0.64
12.8303,0.64
12.9078,0.64
12.9858,0.64
13.0634,0.64
13.1411,0.64
13.2189,0.64
13.2967,0.64
13.3746,0.64
13.4524,0.64
13.5301,0.64
13.608,0.64
13.6857,0.64
13.7636,0.64
13.8412,0.64
13.9191,0.64
13.9967,0.64
14.0747,0.64
14.1523,0.64
14.2303,0.64
14.3079,0.64
14.3858,0.64
14.4635,0.64
14.5412,0.64
14.6191,0.64
14.6968,0.64
14.7746,0.64
14.8524,0.64
14.9302,0.64
15.008,0.64
15.0857,0.64
15.1636,0.64
15.2413,0.64
15.3192,0.64
15.3968,0.64
15.4747,0.64
15.5524,0.64
15.6303,0.64
15.7079,0.64
15.7858,0.64
15.8637,0.64
15.9413,0.64
16.0192,0.64
16.0969,0.64
16.1746,0.64
16.2523,0.64
16.3303,0.64
16.4081,0.64
16.4858,0.64
16.5636,0.64
16.6413,0.64
16.7191,0.64
16.7968,0.64
16.8747,0.64
16.9524,0.64
17.0304,0.64
17.108,0.64
17.1857,0.64
17.2636,0.64
17.3413,0.64
17.4192,0.64
17.497,0.64
17.5746,0.64
17.6525,0.64
17.7303,0.64
17.8081,0.64
17.8858,0.64
17.9636,0.64
18.0414,0.64
18.1191,0.64
18.197,0.64
18.2747,0.64
18.3526,0.64
18.4303,0.64
18.5082,0.64
18.5859,0.64
18.6635,0.64
18.7414,0.64
18.8193,0.64
18.897,0.64
18.9749,0.64
19.0526,0.64
19.1303,0.64
19.2081,0.64
19.2859,0.64
19.3636,0.64
19.4415,0.64
19.5193,0.64
19.5971,0.64
19.6749,0.64
19.7525,0.64
19.8302,0.64
19.9082,0.64
19.9859,0.64
20.0636,0.64
20.1416,0.64
20.2193,0.64
20.297,0.64
20.3749,0.64
20.4526,0.64
20.5303,0.64
20.6082,0.64
20.6858,0.64
20.7636,0.64
20.8413,0.64
20.9193,0.64
20.9969,0.64
21.0749,0.64
21.1527,0.64
21.2304,0.64
21.3081,0.64
21.3859,0.64
21.4638,0.64
21.5415,0.64
21.6192,0.64
21.6969,0.64
21.7747,0.64
21.8527,0.64
21.9304,0.64
22.0081,0.64
22.0859,0.64
22.1636,0.64
22.2415,0.64
22.3193,0.64
22.3969,0.64
22.4749,0.64
22.5527,0.64
22.6304,0.64
22.708,0.64
22.7859,0.64
22.8636,0.64
22.9415,0.64
23.0192,0.64
23.0971,0.64
23.1749,0.64
23.2526,0.64
23.3305,0.64
23.4082,0.64
23.4858,0.64
23.5636,0.64
23.6416,0.64
23.7193,0.64
23.7971,0.64
23.8747,0.64
23.9526,0.64
24.0303,0.64
24.1082,0.64
24.1858,0.64
24.2637,0.64
24.3416,0.64
24.4192,0.64
24.4971,0.64
24.5748,0.64
24.6527,0.64
24.7303,0.64
24.8081,0.64
24.886,0.64
24.9636,0.64
25.0416,0.64
25.1192,0.64
25.197,0.64
25.2748,0.64
25.3526,0.64
25.4305,0.64
25.5081,0.64
25.586,0.64
25.6636,0.64
